"","sqrt_LMA_gDW_m2.10.comps"
"Wave_702",-0.280541107593733
"Wave_703",-0.310604757866378
"Wave_704",-0.291864762158409
"Wave_705",-0.218821930869
"Wave_706",-0.231664632997671
"Wave_707",-0.222808913346485
"Wave_708",-0.165135301916154
"Wave_709",-0.0623523138965527
"Wave_710",-0.0531453576819238
"Wave_711",-0.02332636886478
"Wave_712",0.034063675721357
"Wave_713",0.0972589099161729
"Wave_714",0.136320908017719
"Wave_715",0.183710353955452
"Wave_716",0.204992244868999
"Wave_717",0.244171667964002
"Wave_718",0.283796561547868
"Wave_719",0.267123643904491
"Wave_720",0.260668399321642
"Wave_721",0.26882886928323
"Wave_722",0.289707347314462
"Wave_723",0.256809485314906
"Wave_724",0.221141744019653
"Wave_725",0.177523293463509
"Wave_726",0.169910967730386
"Wave_727",0.174032466945172
"Wave_728",0.149249152915958
"Wave_729",0.104375262179276
"Wave_730",0.0765622201180208
"Wave_731",0.0345674352905643
"Wave_732",0.0019371107226549
"Wave_733",-0.026424772775594
"Wave_734",-0.0394327326537784
"Wave_735",-0.0755107126657074
"Wave_736",-0.095012657448263
"Wave_737",-0.118594903796286
"Wave_738",-0.125445734917363
"Wave_739",-0.135502676300663
"Wave_740",-0.138995775596566
"Wave_741",-0.142907689506179
"Wave_742",-0.139930350616471
"Wave_743",-0.163336414565866
"Wave_744",-0.16639890230703
"Wave_745",-0.144654906103095
"Wave_746",-0.130619667417199
"Wave_747",-0.127720680817968
"Wave_748",-0.127665777738666
"Wave_749",-0.121705820236593
"Wave_750",-0.120313205040967
"Wave_751",-0.113064061336212
"Wave_752",-0.11372785916439
"Wave_753",-0.118444091802762
"Wave_754",-0.128567356164756
"Wave_755",-0.134315395217643
"Wave_756",-0.133581716351384
"Wave_757",-0.127852838632963
"Wave_758",-0.121694741106291
"Wave_759",-0.111305370039372
"Wave_760",-0.0960041807043268
"Wave_761",-0.090637410721442
"Wave_762",-0.083617283202761
"Wave_763",-0.0815989791963443
"Wave_764",-0.0828717323812063
"Wave_765",-0.0854436923266235
"Wave_766",-0.0943374975465089
"Wave_767",-0.102035584127449
"Wave_768",-0.0908523268054598
"Wave_769",-0.0894727650414745
"Wave_770",-0.0856919898350453
"Wave_771",-0.0833976354417032
"Wave_772",-0.0811148021614192
"Wave_773",-0.0784929757847819
"Wave_774",-0.0782302913610898
"Wave_775",-0.0672200849864603
"Wave_776",-0.0712144041858582
"Wave_777",-0.0635829358629278
"Wave_778",-0.0541759507980868
"Wave_779",-0.0599710456364675
"Wave_780",-0.0705604484687566
"Wave_781",-0.0713914839229837
"Wave_782",-0.0754142317382409
"Wave_783",-0.0811130085148265
"Wave_784",-0.0789049563507937
"Wave_785",-0.0763307535283533
"Wave_786",-0.0817555081515123
"Wave_787",-0.0813730782706154
"Wave_788",-0.0778659059153654
"Wave_789",-0.0808440092604477
"Wave_790",-0.0835422268104959
"Wave_791",-0.0830682612806473
"Wave_792",-0.0847061729590738
"Wave_793",-0.0884514261016402
"Wave_794",-0.089406423245395
"Wave_795",-0.0894407895827456
"Wave_796",-0.0877955359634674
"Wave_797",-0.0903587392676316
"Wave_798",-0.0981223119566423
"Wave_799",-0.0993778980505355
"Wave_800",-0.108298634637187
"Wave_801",-0.107542090552742
"Wave_802",-0.102795043169761
"Wave_803",-0.107472512307955
"Wave_804",-0.101710717517719
"Wave_805",-0.104108476950015
"Wave_806",-0.106968473105247
"Wave_807",-0.105287209462901
"Wave_808",-0.108704221947525
"Wave_809",-0.109660702757782
"Wave_810",-0.0991376546220705
"Wave_811",-0.0917341749763866
"Wave_812",-0.09296995814416
"Wave_813",-0.08706919510912
"Wave_814",-0.0886205128263754
"Wave_815",-0.0900904135122552
"Wave_816",-0.0797383760678682
"Wave_817",-0.088004125401616
"Wave_818",-0.0942786351175742
"Wave_819",-0.0893549054962678
"Wave_820",-0.0917815758558619
"Wave_821",-0.0948729729099658
"Wave_822",-0.0950437592290734
"Wave_823",-0.0824515017023005
"Wave_824",-0.0814341695057804
"Wave_825",-0.0909085300712834
"Wave_826",-0.0922097346704196
"Wave_827",-0.0943814655743346
"Wave_828",-0.106395546530975
"Wave_829",-0.100346514299156
"Wave_830",-0.0846121735041605
"Wave_831",-0.0833458837498197
"Wave_832",-0.0842375439612919
"Wave_833",-0.0905878731811603
"Wave_834",-0.0915356729259836
"Wave_835",-0.0922076886929556
"Wave_836",-0.0958737430443224
"Wave_837",-0.0915514802744708
"Wave_838",-0.0953330663487431
"Wave_839",-0.0847118440184772
"Wave_840",-0.0799499541303119
"Wave_841",-0.083733214672797
"Wave_842",-0.08316463144544
"Wave_843",-0.0842524472553498
"Wave_844",-0.0848721007291492
"Wave_845",-0.0611061124591051
"Wave_846",-0.0580576596686302
"Wave_847",-0.0623182888220694
"Wave_848",-0.0629889780538244
"Wave_849",-0.0572397500430312
"Wave_850",-0.0630859374276537
"Wave_851",-0.0589450842054328
"Wave_852",-0.0532119091574653
"Wave_853",-0.0452162581892769
"Wave_854",-0.029821602604188
"Wave_855",-0.0214921638714497
"Wave_856",-0.021835861217556
"Wave_857",-0.0177428772703188
"Wave_858",-0.0211399287973034
"Wave_859",-0.0242773933391927
"Wave_860",-0.00655594315171523
"Wave_861",-0.0112026637955622
"Wave_862",-0.0216471918002957
"Wave_863",-0.0106280436151421
"Wave_864",-0.000735484456890272
"Wave_865",-0.015197424825375
"Wave_866",0.00576231893725455
"Wave_867",0.00224562836814158
"Wave_868",0.00766102158281437
"Wave_869",0.0232611651177779
"Wave_870",0.0149467122875654
"Wave_871",0.0165984248938013
"Wave_872",0.00967534607489579
"Wave_873",0.00859386381850027
"Wave_874",0.0150651747032069
"Wave_875",0.0220382957481467
"Wave_876",0.0369484801238139
"Wave_877",0.031505705147089
"Wave_878",0.0417018150875707
"Wave_879",0.0427292121596987
"Wave_880",0.0427693014552161
"Wave_881",0.0428164324738003
"Wave_882",0.0459108945873539
"Wave_883",0.0446583065198539
"Wave_884",0.034789467590868
"Wave_885",0.0264597569000072
"Wave_886",0.0371229978761783
"Wave_887",0.0370063468039393
"Wave_888",0.0263953158986643
"Wave_889",0.0462915807894201
"Wave_890",0.048953474421796
"Wave_891",0.0445728713240446
"Wave_892",0.0347713675068872
"Wave_893",0.0258596909251845
"Wave_894",0.041748244672793
"Wave_895",0.0476525821139126
"Wave_896",0.0358831026555956
"Wave_897",0.0252134112391088
"Wave_898",0.0363921993200748
"Wave_899",0.0364316581946678
"Wave_900",0.027624650226272
"Wave_901",0.0185894008347296
"Wave_902",0.0147202070098451
"Wave_903",0.0154338286598034
"Wave_904",-0.00150081314778081
"Wave_905",-0.0119711273150492
"Wave_906",-0.00780558641163944
"Wave_907",0.00218662750201858
"Wave_908",-0.00955201753720866
"Wave_909",-0.0134214174902563
"Wave_910",-0.0388228665525867
"Wave_911",-0.0338367194210062
"Wave_912",-0.0107121716743084
"Wave_913",-0.00567271461196402
"Wave_914",-0.00112221346081112
"Wave_915",-0.0265469429620006
"Wave_916",-0.0251852976722739
"Wave_917",-0.00562267587553116
"Wave_918",-0.00920641206837711
"Wave_919",-0.00115761442881032
"Wave_920",-0.00725100541472899
"Wave_921",-0.00888600845693991
"Wave_922",-0.00741769855775574
"Wave_923",-0.00759678107105136
"Wave_924",-0.0100292497494975
"Wave_925",-0.00457647459583953
"Wave_926",0.00126784142271404
"Wave_927",-0.00312516995358114
"Wave_928",0.00614397668661665
"Wave_929",0.00661733239613853
"Wave_930",-0.0126054735127333
"Wave_931",-0.0147009139239551
"Wave_932",0.0126364539876565
"Wave_933",0.0241793247956317
"Wave_934",0.0221678333429186
"Wave_935",0.00818235503838381
"Wave_936",0.00875832515555941
"Wave_937",0.0295750347301333
"Wave_938",0.0286729944461469
"Wave_939",0.0357127894417891
"Wave_940",0.0253730671978206
"Wave_941",0.0213216715614779
"Wave_942",0.0294531868323494
"Wave_943",0.0360028707639786
"Wave_944",0.0322932986904051
"Wave_945",0.0206035678219973
"Wave_946",0.0297995311994115
"Wave_947",0.0347346998274909
"Wave_948",0.0390678545691758
"Wave_949",0.0176929353948123
"Wave_950",0.0202359463470356
"Wave_951",-0.00444217229320827
"Wave_952",-0.00239282293846947
"Wave_953",0.000629439261159229
"Wave_954",0.00440129677896987
"Wave_955",0.000465436744770453
"Wave_956",-0.00222983554242734
"Wave_957",-0.0196757485027379
"Wave_958",-0.0420556253297305
"Wave_959",-0.0717048894042299
"Wave_960",-0.0742079985305498
"Wave_961",-0.124084981218123
"Wave_962",-0.140253346028685
"Wave_963",-0.195270354659422
"Wave_964",-0.205547366667121
"Wave_965",-0.228972490363316
"Wave_966",-0.236212542993144
"Wave_967",-0.291805348809547
"Wave_968",-0.319148442176484
"Wave_969",-0.288520748728158
"Wave_970",-0.328476951632331
"Wave_971",-0.377933717469093
"Wave_972",-0.370482510434083
"Wave_973",-0.357712785001978
